,Address,latitude,longtitude
1,"94 ห้างบิ๊กซี เชียงใหม่ 2 ชั้น 2 ห้อง 27,36 หมู่ 4 ถ. เชียงใหม่ - ลำปาง ต. หนองป่าครั่ง อ. เมือง จ.เชียงใหม่  50000",,
2,208 ห้างบิ๊กซีเชียงใหม่ ชั้น 1 ห้อง GCR 022 ม.3 ตำบลท่าศาลา อำเภอเมืองเชียงใหม่ เชียงใหม่ 50000,,
3,433/4 ห้างบิ๊กซีหางดง หมู่ 7 ต.แม่เหียะ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000,,
4,2 ห้างเซ็นทรัลแอร์พอร์ทเชียงใหม่ ชั้น G ห้อง 128 ถ.มหิดล ต.หายยา อ.เมืองเชียงใหม่ จ.เชียงใหม่  50000,,
5,2 ห้างท็อปส์แอร์พอร์ท ชั้น G ถ.มหิดล ต.หายยา อ.เมืองเชียงใหม่ จ.เชียงใหม่,,
6,ห้างโลตัส รวมโชค เลขที่ 6 หมู่ที่ 6 ต.ฟ้าฮ่าม อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000,,
7,"ห้างเซ็นทรัล เฟสติวัล เชียงใหม่ ห้องเลขที่  K207 ชั้นที่ 2 เลขที่ 99,99/1,99/2  หมู่ที่ 4 ต.ฟ้าฮ่าม อ.เมือง จ.เชียงใหม่  50000",,
8,"เม-ญ่า ไลฟ์สไตล์ ชอปปิ้ง เซ็นเตอร์เชียงใหม่  ห้องเลขที่  K-B04  ชั้นที่  B1  เลขที่  55,55/5  หมู่ที่ 5  ต.ช้างเผือก  อ.เมือง  จ.เชียงใหม่  50300",,
9,100 ห้างโลตัส จอมทอง หมู่ที่ 11 ตำบลข่วงเปา อำเภอจอมทอง จังหวัดเชียงใหม่ 50160,,
10,เลขที่ 111 หมู่ 1 ถนนซุปเปอร์ไฮเวย์ เชียงใหม่-ลำปาง ตำบลไชยสถาน อำเภอสารภี เชียงใหม่ 50140,,
11,200 ห้างบิ๊กซีลำพูน ชั้น 1 ม.4 ต.บ้านกลาง อ.เมืองลำพูน จ.ลำพูน 51000,,
12,เลขที่ 179/1 หมู่ที่ 5 ตำบลเวียงยอง อำเภอเมืองลำพูน จ.ลำพูน,,
13,เลขที่ 89 พลาซ่า 26/26 ม.3 ถ.เชียงใหม่-ลำพูน ต.หนองหอย อ.เมือง จ.เชียงใหม่ 50000,,
14,65 ห้างบิ๊กซีลำปางชั้น 1 ห้อง 107/1 ถ.ไฮเวย์ลำปาง-งาว  ต.สบตุ๋ย  อ.เมืองลำปาง  จ.ลำปาง 52100,,
15,222 ห้างโลตัสลำปาง ชั้น 1 ถนนไฮเวย์-ลำปาง-งาว ต.พระบาท อ. เมืองลำปาง  จ. ลำปาง 52220,,
16,ห้างเซ็นทรัลลำปาง  ห้องเลขที่ K302  ชั้นที่  3  เลขที่  319  ถ.ไฮเวย์-ลำปาง-งาว  ต.สวนดอก  อ.เมืองลำปาง  จ.ลำปาง  52100,,
17,70 ถนน ซุปเปอร์ไฮเวย์สาย ลำปาง - งาว ตำบล ชมพู อำเภอเมืองลำปาง ลำปาง 52100,,
18,669 ห้างโลตัสพะเยา ชั้น 1 หมู่ที่ 3 ตำบลท่าวังทอง อำเภอเมืองพะเยา พะเยา 56000,,
19,500 ท็อปส์พะเยา ห้องเลขที่ RI108-109 ชั้นที่ 1 หมู่ที่ 12 ตำบลท่าวังทอง อำเภอเมืองพะเยา จ.พะเยา 56000,,
20,184 ห้างบิ๊กซีเชียงราย ชั้น 1 ห้อง 114/2 ม. 25 ต. รอบเวียง อ. เมืองเชียงราย จ. เชียงราย 57000,,
21,156 ห้างโลตัสแม่สาย ชั้น 1  หมู่ 5 ตำบลเวียงพางคำ อำเภอแม่สาย เชียงราย 57130,,
22,245 ห้างโลตัสแม่จัน หมู่4 ต.แม่จัน อ.แม่จัน จ.เชียงราย 57110,,
23,ห้างเซ็นทรัลเชียงราย  ห้องเลขที่  K407  ชั้นที่ 1 เลขที่  99/9  หมู่ที่  13  ต.  รอบเวียง  อ. เมืองเชียงราย  จ. เชียงราย  57000,,
24,58 บิ๊กซี เชียงราย 2 ม.17 ต.บ้านดู่ อ.เมืองเชียงราย จ.เชียงราย 57100,,
25,99/20 หมู่ 13 ตำบลสันทราย อำเภอเมืองเชียงราย จังหวัดเชียงราย 57000,,
26,320 ห้างโลตัสน่าน ชั้น 1 หมู่ที่ 4  ต.ดู่ใต้  อ.เมืองน่าน  จ.น่าน  55000,,
27,ห้างบิ๊กซีน่าน  เลขที่  708  หมู่ที่ 4  ต.ไชยสถาน  อ.เมืองน่าน  จ.น่าน  55000,,
28,55/4 ห้างโลตัสแพร่ ชั้น 1 ม. 1 ต.ทุ่งกวาว  อ.เมือง จ. แพร่ 54000,,
29,600 ห้างบิ๊กซีแพร่ ชั้น 1 หมู่ 9 ตำบลนาจักร อำเภอเมืองแพร่ แพร่ 54000,,
30,เลขที่ 621 ตำบลไชยสถาน อำเภอเมืองน่าน น่าน 55000,,
31,เลขที่ 416 หมู่ 9 ถนนภูเก็ต ตำบลนาจักร อำเภอเมือง จังหวัดแพร่ 54000,,
32,577 ห้างโลตัสฝาง ชั้น 1 หมู่ 5 ต.เวียง อ.ฝาง จ.เชียงใหม่ 50110,,
33,เลขที่ 405 ห้างโลตัส หนองฉาง หมู่ที่ 5  ตำบลหนองฉาง อำเภอหนองฉาง จังหวัดอุทัยธานี  61110,,
34,910 ห้างไชยแสงสิงห์บุรี ชั้น 1  ถ.  ขุนสรรค์ ต.บางพุทรา อ.เมือง จ.สิงห์บุรี 16000,,
35,150 ท็อปส์ สิงห์บุรี ห้องเลขที่ RI133 ชั้นที่ 1 หมู่ที่ 1  ต.บางมัญ อ.เมือง จ.สิงห์บุรี 16000,,
36,364/25 ห้างโลตัสชัยนาท ชั้น 1  ถนนทางหลวง 340  ต. บ้านกล้วย อ.เมือง จ.ชัยนาท 17000,,
37,เลขที่ 359 ตำบลท่าชัย อำเภอเมือง จ.ชัยนาท 17000,,
38,อาคารห้างโลต้สตาคลี  เลขที่ 239 หมู่ที่ 1 ต.ตาคลี อ.ตาคลี จ.นครสวรรค์  60140,,
39,320/10  ห้างบิ๊กซีนครสวรรค์ ชั้น 2 ห้อง 216 ถ. สวรรค์วิถี  ต. ปากน้ำโพ  อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,,
40,ห้างโลตัส เดอะวอล์ค นครสวรรค์  เลขที่  914/17  หมู่ที่  10  ต.นครสวรรค์ตก  อ.เมืองนครสารรค์  จ.นครสวรรค์  60000,,
41,เลขที่ 999/99 หมู่ 6 ตำบลหนองกรด อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์ 60240,,
42,เลขที่ 699 หมู่ 10 ตำบลนครสวรรค์ตก อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์ 60000,,
